title,slug,category,authority,documentType,year,program,status,file
Aicte Eoa 2026 27 Mba Bba Bca,aicte-eoa-2026-27-mba-bba-bca,approvals,AICTE / GTU / VNSGU / GNC,Downloaded live PDF,Verify from document,Institution / program-specific,Downloaded from live site; admin verification before launch,/documents/approvals/aicte-eoa-2026-27-mba-bba-bca.pdf
Gnc Permission Gnm Bsc Nursing 2025 26,gnc-permission-gnm-bsc-nursing-2025-26,approvals,AICTE / GTU / VNSGU / GNC,Downloaded live PDF,Verify from document,Institution / program-specific,Downloaded from live site; admin verification before launch,/documents/approvals/gnc-permission-gnm-bsc-nursing-2025-26.pdf
Gtu Bba Affiliation 2025 26,gtu-bba-affiliation-2025-26,approvals,AICTE / GTU / VNSGU / GNC,Downloaded live PDF,Verify from document,Institution / program-specific,Downloaded from live site; admin verification before launch,/documents/approvals/gtu-bba-affiliation-2025-26.pdf
Gtu Mba Affiliation 2025 26,gtu-mba-affiliation-2025-26,approvals,AICTE / GTU / VNSGU / GNC,Downloaded live PDF,Verify from document,Institution / program-specific,Downloaded from live site; admin verification before launch,/documents/approvals/gtu-mba-affiliation-2025-26.pdf
Vnsgu Permission Bsc Nursing 2025 26,vnsgu-permission-bsc-nursing-2025-26,approvals,AICTE / GTU / VNSGU / GNC,Downloaded live PDF,Verify from document,Institution / program-specific,Downloaded from live site; admin verification before launch,/documents/approvals/vnsgu-permission-bsc-nursing-2025-26.pdf
Faculty Requirement Management Bca Nursing February 2026,faculty-requirement-management-bca-nursing-february-2026,careers,Internal / HR,Downloaded live PDF,Verify from document,Institution / program-specific,Downloaded from live site; admin verification before launch,/documents/careers/faculty-requirement-management-bca-nursing-february-2026.pdf
Aqar 2022 23,aqar-2022-23,iqac,IQAC / NAAC / Internal,Downloaded live PDF,Verify from document,Institution / program-specific,Downloaded from live site; admin verification before launch,/documents/iqac/aqar-2022-23.pdf
Aqar 2023 24 Review Verification Required,aqar-2023-24-review-verification-required,iqac,IQAC / NAAC / Internal,Downloaded live PDF,Verify from document,Institution / program-specific,Downloaded from live site; admin verification before launch,/documents/iqac/aqar-2023-24-review-verification-required.pdf
Institutional Development Plan Nursing 2025 2030,institutional-development-plan-nursing-2025-2030,iqac,IQAC / NAAC / Internal,Downloaded live PDF,Verify from document,Institution / program-specific,Downloaded from live site; admin verification before launch,/documents/iqac/institutional-development-plan-nursing-2025-2030.pdf
Strategic Plan 2023 28,strategic-plan-2023-28,iqac,IQAC / NAAC / Internal,Downloaded live PDF,Verify from document,Institution / program-specific,Downloaded from live site; admin verification before launch,/documents/iqac/strategic-plan-2023-28.pdf
The Communique Vol 04 Jan Dec 2024,the-communique-vol-04-jan-dec-2024,newsletters,Internal,Downloaded live PDF,Verify from document,Institution / program-specific,Downloaded from live site; admin verification before launch,/documents/newsletters/the-communique-vol-04-jan-dec-2024.pdf
Gtu Bba Sem I Regular Winter 2025 Timetable,gtu-bba-sem-i-regular-winter-2025-timetable,notices,Internal / University,Downloaded live PDF,Verify from document,Institution / program-specific,Downloaded from live site; admin verification before launch,/documents/notices/gtu-bba-sem-i-regular-winter-2025-timetable.pdf
Gtu Mba Sem I Regular Remedial Winter 2025 Timetable,gtu-mba-sem-i-regular-remedial-winter-2025-timetable,notices,Internal / University,Downloaded live PDF,Verify from document,Institution / program-specific,Downloaded from live site; admin verification before launch,/documents/notices/gtu-mba-sem-i-regular-remedial-winter-2025-timetable.pdf
Gtu Mba Sem I Regular Winter 2024 Result,gtu-mba-sem-i-regular-winter-2024-result,notices,Internal / University,Downloaded live PDF,Verify from document,Institution / program-specific,Downloaded from live site; admin verification before launch,/documents/notices/gtu-mba-sem-i-regular-winter-2024-result.pdf
Gtu Mba Sem Ii Remedial Winter 2025 Timetable,gtu-mba-sem-ii-remedial-winter-2025-timetable,notices,Internal / University,Downloaded live PDF,Verify from document,Institution / program-specific,Downloaded from live site; admin verification before launch,/documents/notices/gtu-mba-sem-ii-remedial-winter-2025-timetable.pdf
Gtu Mba Sem Iii Regular Winter 2025 Timetable,gtu-mba-sem-iii-regular-winter-2025-timetable,notices,Internal / University,Downloaded live PDF,Verify from document,Institution / program-specific,Downloaded from live site; admin verification before launch,/documents/notices/gtu-mba-sem-iii-regular-winter-2025-timetable.pdf
Mba Vacant Quota Admission Instructions 2025 26,mba-vacant-quota-admission-instructions-2025-26,notices,Internal / University,Downloaded live PDF,Verify from document,Institution / program-specific,Downloaded from live site; admin verification before launch,/documents/notices/mba-vacant-quota-admission-instructions-2025-26.pdf
Placement Cell Policy And Team,placement-cell-policy-and-team,placement,Internal / Placement,Downloaded live PDF,Verify from document,Institution / program-specific,Downloaded from live site; admin verification before launch,/documents/placement/placement-cell-policy-and-team.pdf
